frame_name	left	top	right	bottom
normal_01	1	30	25	65
normal_02	26	30	50	65
run_01		2	66	23	102
run_02		24	66	41	102
run_03		42	66	61	102
run_04		62	66	83	102
run_05		84	66	101	102
run_06		102	66	122	102
jump_01		117	44	134	65
jump_02		135	44	155	65
jump_03		156	44	173	65
jump_04		174	44	194	65
lay_down_01	83	48	116	65
run_shot_up_01	123	66	144	102
run_shot_up_02	145	66	162	102
run_shot_up_03	163	66	183	102
run_shot_down_01	184	66	206	102
run_shot_down_02	207	66	228	102
run_shot_down_03	229	66	251	102
shot_up_01	51	19	66	65
shot_up_02	67	19	82	65
run_shot_01	155	189	181	224
run_shot_02	184	189	208	224
run_shot_03	210	189	236	224
swim_begin	94	115	111	131
swimming	130	115	147	131
swimming_01	130	115	147	132
diving		112	123	129	131
diving_01	112	123	129	132
swimming_shot	191	113	217	131
swimming_shot_01	191	113	217	132
swimming_shotup	148	113	168	131
swimming_shotup_01	148	113	168	132
swimming_shotup_stand	169	103	187	131
swimming_shotup_stand_01	169	103	187	132
dead_01		2	107	18	131
dead_02		19	112	42	131
dead_03		43	107	59	131
dead_04		60	120	93	131
