frame_name		left	top		right		bottom
normal_01		0		64		32			96
normal_02		32		64		64			96
normal_03		64		64		96			96
left_30_01		0		0		32			32
left_30_02		32		0		64			32
left_30_03		64		0		96			32
left_60_01		0		32		32			64
left_60_02		32		32		64			64
left_60_03		64		32		96			64
left_120_01		0		96		32			128
left_120_02		32		96		64			128
left_120_03		64		96		96			128
left_150_01		0		128		32			160
left_150_01		32		128		64			160
left_150_01		64		128		96			160
up_01			96		0		128			32
up_02			128		0		160			32
up_03			160		0		192			32
down_01			96		96		128			128
down_02			128		96		160			128
down_03			160		96		192			128	
right_30_01		192		0		224			32
right_30_02		224		0		256			32
right_30_03		256		0		288			32
right_60_01		192		32		224			64
right_60_02		224		32		256			64
right_60_03		256		32		288			64
right_90_01		192		64		224			96
right_90_02		224		64		256			96
right_90_03		256		64		288			96
right_120_01	192		96		224			128
right_120_02	224		96		256			128
right_120_03	256		96		288			128
right_150_01	96		128		128			160
right_150_02	128		128		160			160
right_150_03	160		128		192			160	
appear_01		96		64		128			96
appear_02		128		64		160			96
appear_03		160		64		192			96
appear_04		96		32		128			64
appear_05		128		32		160			64
appear_06		160		32		192			64







						
