frame_name	left	top	right	bottom
normal_01	2	31	24	64
normal_02	27	31	49	64
run_01		3	67	22	101
run_02		25	67	40	101
run_03		43	67	60	101
run_04		63	67	82	101
run_05		84	67	100	101
run_06		103	67	121	101
jump_01		118	45	133	64
jump_02		136	45	154	64
jump_03		157	45	172	64
jump_04		175	45	193	64
lay_down_01	84	49	115	64
run_shot_up_01	124	67	143	101
run_shot_up_02	146	67	161	101
run_shot_up_03	164	67	182	101
run_shot_down_01	185	67	205	101
run_shot_down_02	208	67	227	101
run_shot_down_03	231	67	250	101
shot_up_01	52	20	65	64
shot_up_02	68	20	81	64
run_shot_01	156	190	180	223
run_shot_02	185	190	207	223
run_shot_03	211	190	235	223
